x_id,QID158,QID159_1,QID159_2,QID159_3,QID160,Q184,Q185_1,Q185_2,Q185_3,Q186,Q181,Q182_1,Q182_2,Q182_3,Q183,Q187,Q188_1,Q188_2,Q188_3,Q189,Q190,Q191_1,Q191_2,Q191_3,Q192,QID146_1,QID146_2,QID146_3,QID146_4,QID146_5,Q141_1,Q141_2,Q141_3,Q141_4,Q141_5,Q141_6,Q141_7,Q141_8,Q141_9,Q141_10,Q141_11,Q141_12,Q141_13,Q141_14,Q141_15,QID141_1,QID141_2,QID141_3,QID141_4,QID141_5,QID141_6,QID141_7,QID141_8,QID141_9,QID144,QID1320743511
N-34,4,5,3,9,,7,7,5,5,Turning is hard. Cautious about people walking and biking ,6,3,3,7,,8,1,1,9,Biking person still making me cautious ,5,6,3,5,,3,1,5,4,2,1,,,,,3,,,,,,5,,,,8,5,4,3,8,7,2,8,8,I think one of the scenarios should include a highway or merging. ,4
N-19,4,1,1,7,,7,4,4,9,Speed feels not as fast as it actually is,6,3,6,3,Cause a crash in the last scenario due to over confidence in ,8,1,1,9,Last response is agree for previous scenario,5,1,1,9,Disagree for previous confused question,4,1,5,3,2,,,4,5,2,2,,,3,1,,3,,,,5,5,2,1,8,1,1,2,5,"I definitely behaved similarly in the driving simulator as I would in real life. I will say that the driving simulator gas and brake pedals were far more sensitive than that of a real vehicle, causing ,e to accelerate and decelerate much more quickly than I would in real life. Thus, I had trouble sticking to the 25 mph speed limit. Additionally, the speeds in the simulator felt far lower than what the speedometer said. For example, 25 mph in the simulation felt like 10 mph in real life, while 50 mph in the simulation felt like 30 mph in real life. Overall, I don't feel like this simulation adequately represented my real life driving skills, as these inconsistencies caused me to feel somewhat disoriented. ",4
N-2,4,4,6,7,Accelerate so a little more ,7,7,3,4,A little bit jarring noticed the person just do the crossing and right turning some what weird ,6,1,6,9,A little like electric vehicle ,8,1,1,9,,5,1,1,9,90 degree turning feel strange and start to feel confident to control the vehicle ,3,1,4,5,2,,2,2,2,2,3,2,2,3,3,,,,,,2,4,7,2,7,2,8,4,3,"The driving simulator responded similarly to an experience driving an electric vehicle. The car decelerates and accelerates much faster and at a consistent velocity than a typical gas powered vehicle that I typically use. It may be interesting to implement different vehicle types, ie. suv, sedans, electric,etc. and match participants with a familiar type as much of the early driving experience is getting familiar with how the vehicle operates which may induce additional stress in testers",4
A-22,7,4,5,4,,4,3,3,7,,6,6,5,4,,8,3,3,7,,5,5,4,5,,4,1,3,5,2,2,3,6,2,1,2,1,1,2,7,4,1,3,3,2,1,2,4,5,8,8,7,4,4,I behaved similarly because the scenarios are realistic,4
A-8,4,3,3,7,,7,4,4,4,,6,3,3,7,5 for I felt safe for last scenario ,8,3,3,7,,5,3,3,7,,3,1,4,5,2,6,6,2,2,7,6,,2,2,2,7,2,6,6,4,7,8,8,7,7,2,2,4,4,"25 mph felt very slow and I had to keep pumping up the speed and slowing down over and over. It felt a bit unnatural. And a tiny push of the pedal made a huge acceleration. But the test run was great so I could get a feel for it. I also felt uncomfortable with the break pedal, as it made the car stop very suddenly. It felt a bit unreal in the virtual environment. ",4
A-3,4,7,7,7,Scary for the cyclist ,7,7,6,4,,6,6,6,3,,8,5,4,7,,5,5,7,6,Help student who need to do the parallel parking or drivers test by using VR,4,2,5,3,1,7,3,,9,9,2,1,6,6,2,6,6,2,2,5,7,8,8,7,8,3,7,4,7,Pedals didn't feel the same and were touchy ,4
N-8,7,6,4,6,,4,5,3,7,,5,6,6,6,,8,3,3,7,,6,5,4,6,,1,5,3,2,4,2,,,,,,,,,,,,,,,2,5,4,8,8,8,3,8,5,It took a little bit getting used to the pedal sensitivity. It might of impacted my driving during the simulator. ,4
N-24,7,3,3,7,I think it took some time to get you used to because of the steering and getting a feel for the vehicle. Pretty easy very comfortable ,4,3,3,7,,5,3,7,7,I think that I feel like I'm in VR not in real life. Technique for turns is not right/true to real experiences,8,3,1,7,,6,3,3,7,,1,4,5,2,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,8,4,4,5,4,8,8,5,5,"None other than the speed limit. I would prefer if there was increase in the speed limit up to perhaps 30 mph, which I feel is a change that would suit most participating drivers as it would open up more variability in the driver's driving behaviors. ",4
N-14,4,1,1,9,,7,4,6,7,VR little glitches and person walking in place is just kind of weird,6,4,6,6,I wasn't sure if the garbage truck was moving or not,8,1,1,9,,5,1,4,9,Confused about what the obstacle was but less concerned than for the garbage truck,1,4,5,2,3,5,2,2,,5,3,,,6,,3,,7,2,2,2,4,5,7,8,8,2,5,5,"I could not brake gradually on the simulator, which made it hard to make turns and contributed to motion sickness. The scale of the VR environment was appropriate and realistic. There were some glitches such as blurriness and shifting location.",4
N-38,7,1,1,9,,4,1,1,9,,5,1,1,7,,8,1,1,9,,6,1,1,9,,5,4,2,3,1,,,,,,,,,,,,,,,,4,4,4,4,4,5,5,8,4,No,4
A-1,4,3,3,7,,7,6,3,5,,6,3,7,6,,8,4,3,7,,5,4,7,4,,2,1,5,3,4,,,,,,1,1,,1,,2,,3,,,4,5,5,4,5,4,7,5,7,,4
A-16,4,7,5,5,,7,7,7,5,,6,5,4,6,,8,4,6,6,,5,6,6,4,Abrupt turn ,4,2,5,1,3,4,3,4,7,4,2,2,4,6,3,3,6,2,2,,7,5,7,7,8,7,2,8,8,I was struggling with adjusting to a new car while also focusing on the road. I felt like I was back in drivers ed learning how to turn and how much pressure is needed on the pedals in different cars.,4
A-29,4,7,3,7,The cyclists were stressful,7,7,3,7,Turn was tricky,6,7,7,7,Unsure if truck would move or oncoming traffic. Unsure if road on right at beginning was route or should go straight,8,7,6,7,Thought car might go. Lack of stop sign encouraged to continue. ,5,6,6,7,Confused whether to go straight after turning. Wasn't sure if any workers at work zone ,4,1,5,3,2,4,3,5,7,4,4,2,5,5,2,3,6,2,1,2,4,8,8,8,7,7,7,4,4,"I think I behaved similarly, I think I would have signaled if that was possible and I think my turns would have been smoother in a real world environment but the scenarios felt similar. I think adding a turn signal would be helpful and would make it feel more realistic.",4
